PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Age
1,0,3,1,1,0,7.25,3,22.0
2,1,1,2,1,0,71.2833,1,38.0
3,1,3,2,0,0,7.925,3,26.0
4,1,1,2,1,0,53.1,3,35.0
5,0,3,1,0,0,8.05,3,35.0
6,0,3,1,0,0,8.4583,2,25.351400644466594
7,0,1,1,0,0,51.8625,3,54.0
8,0,3,1,3,1,21.075,3,2.0
9,1,3,2,0,2,11.1333,3,27.0
10,1,2,2,1,0,30.0708,1,14.0
11,1,3,2,1,1,16.7,3,4.0
12,1,1,2,0,0,26.55,3,58.0
13,0,3,1,0,0,8.05,3,20.0
14,0,3,1,1,5,31.275,3,39.0
15,0,3,2,0,0,7.8542,3,14.0
16,1,2,2,0,0,16.0,3,55.0
17,0,3,1,4,1,29.125,2,2.0
18,1,2,1,0,0,13.0,3,34.603625487600766
19,0,3,2,1,0,18.0,3,31.0
20,1,3,2,0,0,7.225,1,20.036631775851674
21,0,2,1,0,0,26.0,3,35.0
22,1,2,1,0,0,13.0,3,34.0
23,1,3,2,0,0,8.0292,2,15.0
24,1,1,1,0,0,35.5,3,28.0
25,0,3,2,3,1,21.075,3,8.0
26,1,3,2,1,5,31.3875,3,38.0
27,0,3,1,0,0,7.225,1,24.31581020012436
28,0,1,1,3,2,263.0,3,19.0
29,1,3,2,0,0,7.8792,2,21.511698618013725
30,0,3,1,0,0,7.8958,3,27.040459259244926
31,0,1,1,0,0,27.7208,1,40.0
32,1,1,2,1,0,146.5208,1,30.793794764619633
33,1,3,2,0,0,7.75,2,21.51513441483894
34,0,2,1,0,0,10.5,3,66.0
35,0,1,1,1,0,82.1708,1,28.0
36,0,1,1,1,0,52.0,3,42.0
37,1,3,1,0,0,7.2292,1,24.315700747253686
38,0,3,1,0,0,8.05,3,21.0
39,0,3,2,2,0,18.0,3,18.0
40,1,3,2,1,0,11.2417,1,14.0
41,0,3,2,1,0,9.475,3,40.0
42,0,2,2,1,0,21.0,3,27.0
43,0,3,1,0,0,7.8958,1,24.298347583221585
44,1,2,2,1,2,41.5792,1,3.0
45,1,3,2,0,0,7.8792,2,19.0
46,0,3,1,0,0,8.05,3,27.036168512487166
47,0,3,1,1,0,15.5,2,21.91007523477947
48,1,3,2,0,0,7.75,2,21.51513441483894
49,0,3,1,2,0,21.6792,1,16.986889732251257
50,0,3,2,1,0,17.8,3,18.0
51,0,3,1,4,1,39.6875,3,7.0
52,0,3,1,0,0,7.8,3,21.0
53,1,1,2,1,0,76.7292,1,49.0
54,1,2,2,1,0,26.0,3,29.0
55,0,1,1,0,1,61.9792,1,65.0
56,1,1,1,0,0,35.5,3,42.27528273949338
57,1,2,2,0,0,10.5,3,21.0
58,0,3,1,0,0,7.2292,1,28.5
59,1,2,2,1,2,27.75,3,5.0
60,0,3,1,5,2,46.9,3,11.0
61,0,3,1,0,0,7.2292,1,22.0
62,1,1,2,0,0,80.0,0,38.0
63,0,1,1,1,0,83.475,3,45.0
64,0,3,1,3,2,27.9,3,4.0
65,0,1,1,0,0,27.7208,1,40.518218719581455
66,1,3,1,1,1,15.2458,1,18.335964946140848
67,1,2,2,0,0,10.5,3,29.0
68,0,3,1,0,0,8.1583,3,19.0
69,1,3,2,4,2,7.925,3,17.0
70,0,3,1,2,0,8.6625,3,26.0
71,0,2,1,0,0,10.5,3,32.0
72,0,3,2,5,2,46.9,3,16.0
73,0,2,1,0,0,73.5,3,21.0
74,0,3,1,1,0,14.4542,1,26.0
75,1,3,1,0,0,56.4958,3,32.0
76,0,3,1,0,0,7.65,3,25.0
77,0,3,1,0,0,7.8958,3,27.040459259244926
78,0,3,1,0,0,8.05,3,27.036168512487166
79,1,2,1,0,2,29.0,3,0.83
80,1,3,2,0,0,12.475,3,30.0
81,0,3,1,0,0,9.0,3,22.0
82,1,3,1,0,0,9.5,3,29.0
83,1,3,2,0,0,7.7875,2,21.51413703495109
84,0,1,1,0,0,47.1,3,28.0
85,1,2,2,0,0,10.5,3,17.0
86,1,3,2,3,0,15.85,3,33.0
87,0,3,1,1,3,34.375,3,16.0
88,0,3,1,0,0,8.05,3,27.036168512487166
89,1,1,2,3,2,263.0,3,23.0
90,0,3,1,0,0,8.05,3,24.0
91,0,3,1,0,0,8.05,3,29.0
92,0,3,1,0,0,7.8542,3,20.0
93,0,1,1,1,0,61.175,3,46.0
94,0,3,1,1,2,20.575,3,26.0
95,0,3,1,0,0,7.25,3,59.0
96,0,3,1,0,0,8.05,3,27.036168512487166
97,0,1,1,0,0,34.6542,1,71.0
98,1,1,1,0,1,63.3583,1,23.0
99,1,2,2,0,1,23.0,3,34.0
100,0,2,1,1,0,26.0,3,34.0
101,0,3,2,0,0,7.8958,3,28.0
102,0,3,1,0,0,7.8958,3,27.040459259244926
103,0,1,1,0,1,77.2875,3,21.0
104,0,3,1,0,0,8.6542,3,33.0
105,0,3,1,2,0,7.925,3,37.0
106,0,3,1,0,0,7.8958,3,28.0
107,1,3,2,0,0,7.65,3,21.0
108,1,3,1,0,0,7.775,3,27.04382211954271
109,0,3,1,0,0,7.8958,3,38.0
110,1,3,2,1,0,24.15,2,18.121139454952754
111,0,1,1,0,0,52.0,3,47.0
112,0,3,2,1,0,14.4542,1,14.5
113,0,3,1,0,0,8.05,3,22.0
114,0,3,2,1,0,9.825,3,20.0
115,0,3,2,0,0,14.4583,1,17.0
116,0,3,1,0,0,7.925,3,21.0
117,0,3,1,0,0,7.75,2,70.5
118,0,2,1,1,0,21.0,3,29.0
119,0,1,1,0,1,247.5208,1,24.0
120,0,3,2,4,2,31.275,3,2.0
121,0,2,1,2,0,73.5,3,21.0
122,0,3,1,0,0,8.05,3,27.036168512487166
123,0,2,1,1,0,30.0708,1,32.5
124,1,2,2,0,0,13.0,3,32.5
125,0,1,1,0,1,77.2875,3,54.0
126,1,3,1,1,0,11.2417,1,12.0
127,0,3,1,0,0,7.75,2,25.370453820162766
128,1,3,1,0,0,7.1417,3,24.0
129,1,3,2,1,1,22.3583,1,14.67892651277998
130,0,3,1,0,0,6.975,3,45.0
131,0,3,1,0,0,7.8958,1,33.0
132,0,3,1,0,0,7.05,3,20.0
133,0,3,2,1,0,14.5,3,47.0
134,1,2,2,1,0,26.0,3,29.0
135,0,2,1,0,0,13.0,3,25.0
136,0,2,1,0,0,15.0458,1,23.0
137,1,1,2,0,2,26.2833,3,19.0
138,0,1,1,1,0,53.1,3,37.0
139,0,3,1,0,0,9.2167,3,16.0
140,0,1,1,0,0,79.2,1,24.0
141,0,3,2,0,2,15.2458,1,18.745684235304907
142,1,3,2,0,0,7.75,3,22.0
143,1,3,2,1,0,15.85,3,24.0
144,0,3,1,0,0,6.75,2,19.0
145,0,2,1,0,0,11.5,3,18.0
146,0,2,1,1,1,36.75,3,19.0
147,1,3,1,0,0,7.7958,3,27.0
148,0,3,2,2,2,34.375,3,9.0
149,0,2,1,0,2,26.0,3,36.5
150,0,2,1,0,0,13.0,3,42.0
151,0,2,1,0,0,12.525,3,51.0
152,1,1,2,1,0,66.6,3,22.0
153,0,3,1,0,0,8.05,3,55.5
154,0,3,1,0,2,14.5,3,40.5
155,0,3,1,0,0,7.3125,3,27.056709804985985
156,0,1,1,0,1,61.3792,1,51.0
157,1,3,2,0,0,7.7333,2,16.0
158,0,3,1,0,0,8.05,3,30.0
159,0,3,1,0,0,8.6625,3,27.019146834099047
160,0,3,1,8,2,69.55,3,-8.906512483424194
161,0,3,1,0,1,16.1,3,44.0
162,1,2,2,0,0,15.75,3,40.0
163,0,3,1,0,0,7.775,3,26.0
164,0,3,1,0,0,8.6625,3,17.0
165,0,3,1,4,1,39.6875,3,1.0
166,1,3,1,0,2,20.525,3,9.0
167,1,1,2,0,1,55.0,3,36.47290779086234
168,0,3,2,1,4,27.9,3,45.0
169,0,1,1,0,0,25.925,3,42.540899104037635
170,0,3,1,0,0,56.4958,3,28.0
171,0,1,1,0,0,33.5,3,61.0
172,0,3,1,4,1,29.125,2,4.0
173,1,3,2,1,1,11.1333,3,1.0
174,0,3,1,0,0,7.925,3,21.0
175,0,1,1,0,0,30.6958,1,56.0
176,0,3,1,1,1,7.8542,3,18.0
177,0,3,1,3,1,25.4667,3,14.339525507594772
178,0,1,2,0,0,28.7125,1,50.0
179,0,2,1,0,0,13.0,3,30.0
180,0,3,1,0,0,0.0,3,36.0
181,0,3,2,8,2,69.55,3,-8.95693044707241
182,0,2,1,0,0,15.05,1,32.18332414393717
183,0,3,1,4,2,31.3875,3,9.0
184,1,2,1,2,1,39.0,3,1.0
185,1,3,2,0,2,22.025,3,4.0
186,0,1,1,0,0,50.0,3,41.88904526137685
187,1,3,2,1,0,15.5,2,18.351573002938494
188,1,1,1,0,0,26.55,3,45.0
189,0,3,1,1,1,15.5,2,40.0
190,0,3,1,0,0,7.8958,3,36.0
191,1,2,2,0,0,13.0,3,32.0
192,0,2,1,0,0,13.0,3,19.0
193,1,3,2,1,0,7.8542,3,19.0
194,1,2,1,1,1,26.0,3,3.0
195,1,1,2,0,0,27.7208,1,44.0
196,1,1,2,0,0,146.5208,1,58.0
197,0,3,1,0,0,7.75,2,25.370453820162766
198,0,3,1,0,1,8.4042,3,42.0
199,1,3,2,0,0,7.75,2,21.51513441483894
200,0,2,2,0,0,13.0,3,24.0
201,0,3,1,0,0,9.5,3,28.0
202,0,3,1,8,2,69.55,3,-8.906512483424194
203,0,3,1,0,0,6.4958,3,34.0
204,0,3,1,0,0,7.225,1,45.5
205,1,3,1,0,0,8.05,3,18.0
206,0,3,2,0,1,10.4625,3,2.0
207,0,3,1,1,0,15.85,3,32.0
208,1,3,1,0,0,18.7875,1,26.0
209,1,3,2,0,0,7.75,2,16.0
210,1,1,1,0,0,31.0,1,40.0
211,0,3,1,0,0,7.05,3,24.0
212,1,2,2,0,0,21.0,3,35.0
213,0,3,1,0,0,7.25,3,22.0
214,0,2,1,0,0,13.0,3,30.0
215,0,3,1,1,0,7.75,2,22.124989901268236
216,1,1,2,1,0,113.275,1,31.0
217,1,3,2,0,0,7.925,3,27.0
218,0,2,1,1,0,27.0,3,42.0
219,1,1,2,0,0,76.2917,1,32.0
220,0,2,1,0,0,10.5,3,30.0
221,1,3,1,0,0,8.05,3,16.0
222,0,2,1,0,0,13.0,3,27.0
223,0,3,1,0,0,8.05,3,51.0
224,0,3,1,0,0,7.8958,3,27.040459259244926
225,1,1,1,1,0,90.0,3,38.0
226,0,3,1,0,0,9.35,3,22.0
227,1,2,1,0,0,10.5,3,19.0
228,0,3,1,0,0,7.25,3,20.5
229,0,2,1,0,0,13.0,3,18.0
230,0,3,2,3,1,25.4667,3,12.299439560686551
231,1,1,2,1,0,83.475,3,35.0
232,0,3,1,0,0,7.775,3,29.0
233,0,2,1,0,0,13.5,3,59.0
234,1,3,2,4,2,31.3875,3,5.0
235,0,2,1,0,0,10.5,3,24.0
236,0,3,2,0,0,7.55,3,23.61890851479893
237,0,2,1,1,0,26.0,3,44.0
238,1,2,2,0,2,26.25,3,8.0
239,0,2,1,0,0,10.5,3,19.0
240,0,2,1,0,0,12.275,3,33.0
241,0,3,2,1,0,14.4542,1,16.722748294304438
242,1,3,2,1,0,15.5,2,18.351573002938494
243,0,2,1,0,0,10.5,3,29.0
244,0,3,1,0,0,7.125,3,22.0
245,0,3,1,0,0,7.225,1,30.0
246,0,1,1,2,0,90.0,2,44.0
247,0,3,2,0,0,7.775,3,25.0
248,1,2,2,0,2,14.5,3,24.0
249,1,1,1,1,1,52.5542,3,37.0
250,0,2,1,1,0,26.0,3,54.0
251,0,3,1,0,0,7.25,3,27.058452894160837
252,0,3,2,1,1,10.4625,3,29.0
253,0,1,1,0,0,26.55,3,62.0
254,0,3,1,1,0,16.1,3,30.0
255,0,3,2,0,2,20.2125,3,41.0
256,1,3,2,0,2,15.2458,1,29.0
257,1,1,2,0,0,79.2,1,34.85165226477602
258,1,1,2,0,0,86.5,3,30.0
259,1,1,2,0,0,512.3292,1,35.0
260,1,2,2,0,1,26.0,3,50.0
261,0,3,1,0,0,7.75,2,25.370453820162766
262,1,3,1,4,2,31.3875,3,3.0
263,0,1,1,1,1,79.65,3,52.0
264,0,1,1,0,0,0.0,3,40.0
265,0,3,2,0,0,7.75,2,21.51513441483894
266,0,2,1,0,0,10.5,3,36.0
267,0,3,1,4,1,39.6875,3,16.0
268,1,3,1,1,0,7.775,3,25.0
269,1,1,2,0,1,153.4625,3,58.0
270,1,1,2,0,0,135.6333,3,35.0
271,0,1,1,0,0,31.0,3,42.39906885970322
272,1,3,1,0,0,0.0,3,25.0
273,1,2,2,0,1,19.5,3,41.0
274,0,1,1,0,1,29.7,1,37.0
275,1,3,2,0,0,7.75,2,21.51513441483894
276,1,1,2,1,0,77.9583,3,63.0
277,0,3,2,0,0,7.75,3,45.0
278,0,2,1,0,0,0.0,3,34.98013048334451
279,0,3,1,4,1,29.125,2,7.0
280,1,3,2,1,1,20.25,3,35.0
281,0,3,1,0,0,7.75,2,65.0
282,0,3,1,0,0,7.8542,3,28.0
283,0,3,1,0,0,9.5,3,16.0
284,1,3,1,0,0,8.05,3,19.0
285,0,1,1,0,0,26.0,3,42.538785910647675
286,0,3,1,0,0,8.6625,1,33.0
287,1,3,1,0,0,9.5,3,30.0
288,0,3,1,0,0,7.8958,3,22.0
289,1,2,1,0,0,13.0,3,42.0
290,1,3,2,0,0,7.75,2,22.0
291,1,1,2,0,0,78.85,3,26.0
292,1,1,2,1,0,91.0792,1,19.0
293,0,2,1,0,0,12.875,1,36.0
294,0,3,2,0,0,8.85,3,24.0
295,0,3,1,0,0,7.8958,3,24.0
296,0,1,1,0,0,27.7208,1,40.518218719581455
297,0,3,1,0,0,7.2292,1,23.5
298,0,1,2,1,2,151.55,3,2.0
299,1,1,1,0,0,30.5,3,42.4129374583199
300,1,1,2,0,1,247.5208,1,50.0
301,1,3,2,0,0,7.75,2,21.51513441483894
302,1,3,1,2,0,23.25,2,18.340929475561097
303,0,3,1,0,0,0.0,3,19.0
304,1,2,2,0,0,12.35,2,29.189111149468772
305,0,3,1,0,0,8.05,3,27.036168512487166
306,1,1,1,1,2,151.55,3,0.92
307,1,1,2,0,0,110.8833,1,34.22891762940617
308,1,1,2,1,0,108.9,1,17.0
309,0,2,1,1,0,24.0,1,30.0
310,1,1,2,0,0,56.9292,1,30.0
311,1,1,2,0,0,83.1583,1,24.0
312,1,1,2,2,2,262.375,1,18.0
313,0,2,2,1,1,26.0,3,26.0
314,0,3,1,0,0,7.8958,3,28.0
315,0,2,1,1,1,26.25,3,43.0
316,1,3,2,0,0,7.8542,3,26.0
317,1,2,2,1,0,26.0,3,24.0
318,0,2,1,0,0,14.0,3,54.0
319,1,1,2,0,2,164.8667,3,31.0
320,1,1,2,1,1,134.5,1,40.0
321,0,3,1,0,0,7.25,3,22.0
322,0,3,1,0,0,7.8958,3,27.0
323,1,2,2,0,0,12.35,2,30.0
324,1,2,2,1,1,29.0,3,22.0
325,0,3,1,8,2,69.55,3,-8.906512483424194
326,1,1,2,0,0,135.6333,1,36.0
327,0,3,1,0,0,6.2375,3,61.0
328,1,2,2,0,0,13.0,3,36.0
329,1,3,2,1,1,20.525,3,31.0
330,1,1,2,0,1,57.9792,1,16.0
331,1,3,2,2,0,23.25,2,15.079636483517788
332,0,1,1,0,0,28.5,3,45.5
333,0,1,1,0,1,153.4625,3,38.0
334,0,3,1,2,0,18.0,3,16.0
335,1,1,2,1,0,133.65,3,33.97573123622624
336,0,3,1,0,0,7.8958,3,27.040459259244926
337,0,1,1,1,0,66.6,3,29.0
338,1,1,2,0,0,134.5,1,41.0
339,1,3,1,0,0,8.05,3,45.0
340,0,1,1,0,0,35.5,3,45.0
341,1,2,1,1,1,26.0,3,2.0
342,1,1,2,3,2,263.0,3,24.0
343,0,2,1,0,0,13.0,3,28.0
344,0,2,1,0,0,13.0,3,25.0
345,0,2,1,0,0,13.0,3,36.0
346,1,2,2,0,0,13.0,3,24.0
347,1,2,2,0,0,13.0,3,40.0
348,1,3,2,1,0,16.1,3,20.597693529975913
349,1,3,1,1,1,15.9,3,3.0
350,0,3,1,0,0,8.6625,3,42.0
351,0,3,1,0,0,9.225,3,23.0
352,0,1,1,0,0,35.0,3,42.28894506261622
353,0,3,1,1,1,7.2292,1,15.0
354,0,3,1,1,0,17.8,3,25.0
355,0,3,1,0,0,7.225,1,24.31581020012436
356,0,3,1,0,0,9.5,3,28.0
357,1,1,2,0,1,55.0,3,22.0
358,0,2,2,0,0,13.0,3,38.0
359,1,3,2,0,0,7.8792,2,21.511698618013725
360,1,3,2,0,0,7.8792,2,21.511698618013725
361,0,3,1,1,4,27.9,3,40.0
362,0,2,1,1,0,27.7208,1,29.0
363,0,3,2,0,1,14.4542,1,45.0
364,0,3,1,0,0,7.05,3,35.0
365,0,3,1,1,0,15.5,2,21.91007523477947
366,0,3,1,0,0,7.25,3,30.0
367,1,1,2,1,0,75.25,1,60.0
368,1,3,2,0,0,7.2292,1,20.036523711699374
369,1,3,2,0,0,7.75,2,21.51513441483894
370,1,1,2,0,0,69.3,1,24.0
371,1,1,1,1,0,55.4417,1,25.0
372,0,3,1,1,0,6.4958,3,18.0
373,0,3,1,0,0,8.05,3,19.0
374,0,1,1,0,0,135.6333,1,22.0
375,0,3,2,3,1,21.075,3,3.0
376,1,1,2,1,0,82.1708,1,32.01816437679281
377,1,3,2,0,0,7.25,3,22.0
378,0,1,1,0,2,211.5,1,27.0
379,0,3,1,0,0,4.0125,1,20.0
380,0,3,1,0,0,7.775,3,19.0
381,1,1,2,0,0,227.525,1,42.0
382,1,3,2,0,2,15.7417,1,1.0
383,0,3,1,0,0,7.925,3,32.0
384,1,1,2,1,0,52.0,3,35.0
385,0,3,1,0,0,7.8958,3,27.040459259244926
386,0,2,1,0,0,73.5,3,18.0
387,0,3,1,5,2,46.9,3,1.0
388,1,2,2,0,0,13.0,3,36.0
389,0,3,1,0,0,7.7292,2,25.371014022449344
390,1,2,2,0,0,12.0,1,17.0
391,1,1,1,1,2,120.0,3,36.0
392,1,3,1,0,0,7.7958,3,21.0
393,0,3,1,2,0,7.925,3,28.0
394,1,1,2,1,0,113.275,1,23.0
395,1,3,2,0,2,16.7,3,24.0
396,0,3,1,0,0,7.7958,3,22.0
397,0,3,2,0,0,7.8542,3,31.0
398,0,2,1,0,0,26.0,3,46.0
399,0,2,1,0,0,10.5,3,23.0
400,1,2,2,0,0,12.65,3,28.0
401,1,3,1,0,0,7.925,3,39.0
402,0,3,1,0,0,8.05,3,26.0
403,0,3,2,1,0,9.825,3,21.0
404,0,3,1,1,0,15.85,3,28.0
405,0,3,2,0,0,8.6625,3,20.0
406,0,2,1,1,0,21.0,3,34.0
407,0,3,1,0,0,7.75,3,51.0
408,1,2,1,1,1,18.75,3,3.0
409,0,3,1,0,0,7.775,3,21.0
410,0,3,2,3,1,25.4667,3,12.299439560686551
411,0,3,1,0,0,7.8958,3,27.040459259244926
412,0,3,1,0,0,6.8583,2,25.394506113202624
413,1,1,2,1,0,90.0,2,33.0
414,0,2,1,0,0,0.0,3,34.98013048334451
415,1,3,1,0,0,7.925,3,44.0
416,0,3,2,0,0,8.05,3,23.605153877352677
417,1,2,2,1,1,32.5,3,34.0
418,1,2,2,0,2,13.0,3,18.0
419,0,2,1,0,0,13.0,3,30.0
420,0,3,2,0,2,24.15,3,10.0
421,0,3,1,0,0,7.8958,1,24.298347583221585
422,0,3,1,0,0,7.7333,2,21.0
423,0,3,1,0,0,7.875,3,29.0
424,0,3,2,1,1,14.4,3,28.0
425,0,3,1,1,1,20.2125,3,18.0
426,0,3,1,0,0,7.25,3,27.058452894160837
427,1,2,2,1,0,26.0,3,28.0
428,1,2,2,0,0,26.0,3,19.0
429,0,3,1,0,0,7.75,2,25.370453820162766
430,1,3,1,0,0,8.05,3,32.0
431,1,1,1,0,0,26.55,3,28.0
432,1,3,2,1,0,16.1,3,20.597693529975913
433,1,2,2,1,0,26.0,3,42.0
434,0,3,1,0,0,7.125,3,17.0
435,0,1,1,1,0,55.9,3,50.0
436,1,1,2,1,2,120.0,3,14.0
437,0,3,2,2,2,34.375,3,21.0
438,1,2,2,2,3,18.75,3,24.0
439,0,1,1,1,4,263.0,3,64.0
440,0,2,1,0,0,10.5,3,31.0
441,1,2,2,1,1,26.25,3,45.0
442,0,3,1,0,0,9.5,3,20.0
443,0,3,1,1,0,7.775,3,25.0
444,1,2,2,0,0,13.0,3,28.0
445,1,3,1,0,0,8.1125,3,27.034430031379998
446,1,1,1,0,2,81.8583,3,4.0
447,1,2,2,0,1,19.5,3,13.0
